,Date,Topic,Overview
1,29-Aug,The Rise of Analytics,[Click Here](https://gist.github.com/jkuruzovich/672945f488de09dee47010a6f3f343ba)
,5-Sep,Labor Day,
2,12-Sep,Intro to Python,[Click Here](https://gist.github.com/jkuruzovich/672945f488de09dee47010a6f3f343ba)
3,19-Sep,Intro to Python,[Click Here](https://gist.github.com/jkuruzovich/672945f488de09dee47010a6f3f343ba)
4,26-Sep,Intro to R,[Click Here](https://gist.github.com/jkuruzovich/672945f488de09dee47010a6f3f343ba)
5,3-Oct,Intro to R,[Click Here](https://gist.github.com/jkuruzovich/672945f488de09dee47010a6f3f343ba)
,10-Oct,Columbus Day - No Class,
6,11-Oct,Intro to Visualization with R and Python ,[Click Here](https://gist.github.com/jkuruzovich/672945f488de09dee47010a6f3f343ba)
7,17-Oct,DataMunging,[Click Here](https://gist.github.com/jkuruzovich/672945f488de09dee47010a6f3f343ba)
8,24-Oct,Midterm,
9,31-Oct,Introduction to Modeling I,[Click Here](https://gist.github.com/jkuruzovich/672945f488de09dee47010a6f3f343ba)
10,7-Nov,Introduction to Modeling II,[Click Here](https://gist.github.com/jkuruzovich/672945f488de09dee47010a6f3f343ba)
11,14-Nov,Text Mining and Unstructured Data,[Click Here](https://gist.github.com/jkuruzovich/672945f488de09dee47010a6f3f343ba)
12,21-Nov,Image Processing,[Click Here](https://gist.github.com/jkuruzovich/672945f488de09dee47010a6f3f343ba)
13,28-Nov,Introduction to Big Data with Spark,[Click Here](https://gist.github.com/jkuruzovich/672945f488de09dee47010a6f3f343ba)
14,5-Dec,Presentations,
